0.001,-7
0.003,-7
0.005,-7
0.007,-7
0.009,7
0.011,7
0.013,7
0.015,7
0.017,7
0.019,7
0.021,7
0.023,7
0.025,7
0.027,7
0.029,7
0.031,7
0.033,7
0.035,7
0.037,7
0.039,7
0.041,7
0.043,7
0.045,-7
0.047,-7
0.049,-7
0.051,-7
0.053,-7
0.055,-7
0.057,-7
0.059,-7
0.061,-7
0.063,-7
0.065,-7
0.067,-7
0.069,-7
0.071,-7
0.0730000000000001,-7
0.0750000000000001,-7
0.0770000000000001,-7
0.0790000000000001,-7
0.0810000000000001,-7
0.0830000000000001,-7
0.0850000000000001,-7
0.0870000000000001,-7
0.0890000000000001,7
0.0910000000000001,7
0.0930000000000001,-7
0.0950000000000001,-7
0.0970000000000001,7
0.0990000000000001,7
0.101,7
0.103,7
0.105,-7
0.107,-7
0.109,7
0.111,7
0.113,7
0.115,7
0.117,7
0.119,7
0.121,7
0.123,7
0.125,-7
0.127,-7
0.129,7
0.131,7
0.133,7
0.135,7
0.137,7
0.139,7
0.141,7
0.143,7
0.145,7
0.147,7
0.149,-7
0.151,-7
0.153,-7
0.155,-7
0.157,7
0.159,7
0.161,-7
0.163,-7
0.165,-7
0.167,-7
0.169,-7
0.171,-7
0.173,-7
0.175,-7
0.177,-7
0.179,-7
0.181,7
0.183,7
0.185,7
0.187,7
0.189,7
0.191,7
0.193,7
0.195,7
0.197,7
0.199,7
0.201,7
0.203,7
0.205,7
0.207,7
0.209,-7
0.211,-7
0.213,-7
0.215,-7
0.217,-7
0.219,-7
0.221,-7
0.223,-7
0.225,7
0.227,7
0.229,7
0.231,7
0.233,7
0.235,7
0.237,7
0.239,7
0.241,7
0.243,7
0.245,7
0.247,7
0.249,7
0.251,7
0.253,-7
0.255,-7
0.257,7
0.259,7
0.261,7
0.263,7
0.265,-7
0.267,-7
0.269,7
0.271,7
0.273,7
0.275,7
0.277,7
0.279,7
0.281,-7
0.283,-7
0.285,7
0.287,7
0.289,7
0.291,7
0.293,-7
0.295,-7
0.297,-7
0.299,-7
0.301,7
0.303,7
0.305,7
0.307,7
0.309,7
0.311,7
0.313,7
0.315,7
0.317,-7
0.319,-7
0.321,-7
0.323,-7
0.325,-7
0.327,-7
0.329,-7
0.331,-7
0.333,-7
0.335,-7
0.337,7
0.339,7
0.341,7
0.343,7
0.345,-7
0.347,-7
0.349,-7
0.351,-7
0.353,7
0.355,7
0.357,7
0.359,7
0.361,7
0.363,7
0.365,7
0.367,7
0.369,7
0.371,7
0.373,7
0.375,7
0.377,7
0.379,7
0.381,7
0.383,7
0.385,7
0.387,7
0.389,7
0.391,7
0.393,7
0.395,7
0.397,-7
0.399,-7
0.401,0
